"date","campaign_id","campaign_name","adgroup_id","adgroup_name","adgroup_targetting_type","adgroup_status","campaign_status","impressions","clicks","ctr","cvr","avg_cpc","ad_spend","units_sold_direct","units_sold_indirect","units_sold_total","direct_revenue","indirect_revenue","total_revenue","roi_direct","roi_indirect","roi_total"
"20260314","CMP1320232","KALINI MARCH 2026","ADG1339645","KALINI HIT STYLES","Auto Targeting","ADGROUP_STATUS_LIVE","LIVE","67166","2106","3.1400","0.4700","1.200000","2527.20","4","6","10","3348.9400","5153.4000","8502.3400","1.33000000","2.04000000","3.3600"
"20260311","CMP1320289","MITERA MARCH 2026","ADG1320547","MITERA NEW STYLES","Auto Targeting","ADGROUP_STATUS_EXPIRED","LIVE","0","0",,,,"0.00","0","0","0","0.0000","0.0000","0.0000",,,
"20260320","CMP1320232","KALINI MARCH 2026","ADG1320483","KALINI NEW STYELS","Auto Targeting","ADGROUP_STATUS_EXPIRED","LIVE","0","0",,,,"0.00","0","0","0","0.0000","0.0000","0.0000",,,
"20260315","CMP1320289","MITERA MARCH 2026","ADG1339664","MITERA MIX1","Auto Targeting","ADGROUP_BUDGET_EXHAUSTED","LIVE","26802","836","3.1200","0.8400","1.200000","1003.20","4","3","7","5773.4200","4050.1900","9823.6100","5.76000000","4.04000000","9.7900"
"20260315","CMP1299835","SATRANI MARCH","ADG1299837","GROW REVENUE RECOMM.","Auto Targeting","ADGROUP_STATUS_EXPIRED","ON_HOLD","0","0",,,,"0.00","0","0","0","0.0000","0.0000","0.0000",,,
"20260313","CMP1318141","SANGRIA MARCH 2026","ADG1318143","SANGRIA","Auto Targeting","ADGROUP_STATUS_LIVE","LIVE","29652","848","2.8600","0.1200","1.200000","1017.60","1","0","1","1241.4100","0.0000","1241.4100","1.22000000","0.00000000","1.2200"
"20260320","CMP1320232","KALINI MARCH 2026","ADG1394033","KALINI NEW 2","Auto Targeting","ADGROUP_STATUS_LIVE","LIVE","0","0",,,,"0.00","0","0","0","0.0000","0.0000","0.0000",,,
"20260316","CMP1299835","SATRANI MARCH","ADG1339690","SATRANI MIX1","Auto Targeting","ADGROUP_STATUS_EXPIRED","LIVE","0","0",,,,"0.00","0","0","0","0.0000","0.0000","0.0000",,,
"20260308","CMP1140205","SATRANI FEB","ADG1181316","Satrani Saree new sku 9 to 12 Feb.","Auto Targeting","ADGROUP_STATUS_EXPIRED","ON_HOLD","0","0",,,,"0.00","0","0","0","0.0000","0.0000","0.0000",,,
"20260304","CMP1140205","SATRANI FEB","ADG1140207","SATRANI SAREE - HIT STYLE","Auto Targeting","ADGROUP_STATUS_EXPIRED","ON_HOLD","0","0",,,,"0.00","0","0","0","0.0000","0.0000","0.0000",,,
"20260322","CMP1320289","MITERA MARCH 2026","ADG1394081","MITERA HIT 2","Auto Targeting","ADGROUP_BUDGET_EXHAUSTED","LIVE","54492","1806","3.3100","0.3900","1.200000","2167.20","5","2","7","6502.0900","2377.6300","8879.7200","3.00000000","1.10000000","4.1000"
"20260322","CMP1299835","SATRANI MARCH","ADG1311673","KALINI","Auto Targeting","ADGROUP_STATUS_EXPIRED","ON_HOLD","0","0",,,,"0.00","0","0","0","0.0000","0.0000","0.0000",,,
"20260301","CMP1140205","SATRANI FEB","ADG1143256","Satrani Saree slow hit sku 1 to 8 Feb.","Auto Targeting","ADGROUP_STATUS_EXPIRED","ON_HOLD","0","0",,,,"0.00","0","0","0","0.0000","0.0000","0.0000",,,
"20260308","CMP1140205","SATRANI FEB","ADG1140207","SATRANI SAREE - HIT STYLE","Auto Targeting","ADGROUP_STATUS_EXPIRED","ON_HOLD","0","0",,,,"0.00","0","0","0","0.0000","0.0000","0.0000",,,
"20260308","CMP1140205","SATRANI FEB","ADG1181306","Satrani Saree dis,spec sku 9 to 12 Feb.","Auto Targeting","ADGROUP_STATUS_EXPIRED","ON_HOLD","0","0",,,,"0.00","0","0","0","0.0000","0.0000","0.0000",,,
"20260306","CMP1140205","SATRANI FEB","ADG1231621","Satrani Saree med1 sku 20 to 22 Feb.","Auto Targeting","ADGROUP_STATUS_EXPIRED","ON_HOLD","0","0",,,,"0.00","0","0","0","0.0000","0.0000","0.0000",,,
"20260319","CMP1320232","KALINI MARCH 2026","ADG1376136","KALINI NEW STYELS /","Auto Targeting","ADGROUP_STATUS_DAILY_BUDGET_MET","DAILY_BUDGET_MET","120698","2622","2.1700","0.1500","1.200000","3146.40","1","3","4","1104.3700","2747.4000","3851.7600","0.35000000","0.87000000","1.2200"
"20260319","CMP1320232","KALINI MARCH 2026","ADG1376135","KALINI MIX STYLES /","Auto Targeting","ADGROUP_STATUS_LIVE","LIVE","118282","2655","2.2400","0.1500","1.200000","3186.00","1","3","4","714.4900","2319.7700","3034.2600","0.22000000","0.73000000","0.9500"
"20260321","CMP1320289","MITERA MARCH 2026","ADG1394081","MITERA HIT 2","Auto Targeting","ADGROUP_STATUS_DAILY_BUDGET_MET","LIVE","62298","1874","3.0100","0.5900","1.200000","2248.80","8","3","11","10915.5300","3894.2200","14809.7500","4.85000000","1.73000000","6.5900"
"20260321","CMP1320232","KALINI MARCH 2026","ADG1376135","KALINI MIX STYLES /","Auto Targeting","ADGROUP_STATUS_EXPIRED","LIVE","0","0",,,,"0.00","0","0","0","0.0000","0.0000","0.0000",,,
"20260321","CMP1320289","MITERA MARCH 2026","ADG1339664","MITERA MIX1","Auto Targeting","ADGROUP_STATUS_EXPIRED","LIVE","0","0",,,,"0.00","0","0","0","0.0000","0.0000","0.0000",,,
"20260312","CMP1320232","KALINI MARCH 2026","ADG1339638","KALINI MIX STYLES","Auto Targeting","ADGROUP_STATUS_LIVE","LIVE","84400","2107","2.5000","0.5200","1.200000","2528.40","5","6","11","3696.2400","5066.4200","8762.6500","1.46000000","2.00000000","3.4700"
"20260312","CMP1299835","SATRANI MARCH","ADG1299837","GROW REVENUE RECOMM.","Auto Targeting","ADGROUP_STATUS_EXPIRED","LIVE","0","0",,,,"0.00","0","0","0","0.0000","0.0000","0.0000",,,
"20260322","CMP1318141","SANGRIA MARCH 2026","ADG1318545","AAY STYLES","Auto Targeting","ADGROUP_STATUS_EXPIRED","ON_HOLD","0","0",,,,"0.00","0","0","0","0.0000","0.0000","0.0000",,,
"20260323","CMP1299835","SATRANI MARCH","ADG1375414","SATRANI MIX /","Auto Targeting","ADGROUP_STATUS_EXPIRED","LIVE","0","0",,,,"0.00","0","0","0","0.0000","0.0000","0.0000",,,
"20260323","CMP1318141","SANGRIA MARCH 2026","ADG1318545","AAY STYLES","Auto Targeting","ADGROUP_STATUS_EXPIRED","LIVE","0","0",,,,"0.00","0","0","0","0.0000","0.0000","0.0000",,,
"20260311","CMP1320232","KALINI MARCH 2026","ADG1339634","KALINI NEW","Auto Targeting","ADGROUP_STATUS_LIVE","LIVE","91017","2112","2.3200","0.3300","1.200000","2534.40","1","6","7","670.0000","5093.8200","5763.8200","0.26000000","2.01000000","2.2700"
"20260317","CMP1320289","MITERA MARCH 2026","ADG1375706","MITERA MIX /","Auto Targeting","ADGROUP_STATUS_DAILY_BUDGET_MET","LIVE","42273","1524","3.6100","0.1300","1.200000","1828.80","1","1","2","1162.9000","1363.9600","2526.8500","0.64000000","0.75000000","1.3800"
"20260318","CMP1299835","SATRANI MARCH","ADG1311673","KALINI","Auto Targeting","ADGROUP_STATUS_EXPIRED","LIVE","0","0",,,,"0.00","0","0","0","0.0000","0.0000","0.0000",,,
"20260310","CMP1320289","MITERA MARCH 2026","ADG1339665","MITERA NEW STYLES1","Auto Targeting","ADGROUP_STATUS_DAILY_BUDGET_MET","DAILY_BUDGET_MET","37476","931","2.4800","0.5400","1.200000","1117.20","4","1","5","4995.6000","1494.3700","6489.9700","4.47000000","1.34000000","5.8100"
"20260310","CMP1299835","SATRANI MARCH","ADG1299853","SATRANI HIT","Auto Targeting","ADGROUP_STATUS_EXPIRED","LIVE","0","0",,,,"0.00","0","0","0","0.0000","0.0000","0.0000",,,
"20260320","CMP1299835","SATRANI MARCH","ADG1375434","SATRANI NEW /","Auto Targeting","ADGROUP_STATUS_LIVE","LIVE","24009","875","3.6400","0.5700","1.200000","1050.00","4","1","5","8103.4600","1728.0200","9831.4900","7.72000000","1.65000000","9.3600"
"20260320","CMP1299835","SATRANI MARCH","ADG1339690","SATRANI MIX1","Auto Targeting","ADGROUP_STATUS_EXPIRED","SCHEDULED","0","0",,,,"0.00","0","0","0","0.0000","0.0000","0.0000",,,
"20260307","CMP1140205","SATRANI FEB","ADG1143235","Satrani Saree Hit sku 1 to 8 Feb.","Auto Targeting","ADGROUP_STATUS_EXPIRED","ON_HOLD","0","0",,,,"0.00","0","0","0","0.0000","0.0000","0.0000",,,
"20260307","CMP1140205","SATRANI FEB","ADG1181306","Satrani Saree dis,spec sku 9 to 12 Feb.","Auto Targeting","ADGROUP_STATUS_EXPIRED","ON_HOLD","0","0",,,,"0.00","0","0","0","0.0000","0.0000","0.0000",,,
"20260307","CMP1140205","SATRANI FEB","ADG1143135","Satrani Saree dis,spec sku 1 to 8 Feb.","Auto Targeting","ADGROUP_STATUS_EXPIRED","ON_HOLD","0","0",,,,"0.00","0","0","0","0.0000","0.0000","0.0000",,,
"20260316","CMP1299835","SATRANI MARCH","ADG1311673","KALINI","Auto Targeting","ADGROUP_STATUS_EXPIRED","LIVE","0","0",,,,"0.00","0","0","0","0.0000","0.0000","0.0000",,,
"20260316","CMP1320289","MITERA MARCH 2026","ADG1320292","MITERA MIX","Auto Targeting","ADGROUP_STATUS_EXPIRED","LIVE","0","0",,,,"0.00","0","0","0","0.0000","0.0000","0.0000",,,
"20260304","CMP1140205","SATRANI FEB","ADG1231610","Satrani Saree med sku 20 to 22 Feb.","Auto Targeting","ADGROUP_STATUS_EXPIRED","ON_HOLD","0","0",,,,"0.00","0","0","0","0.0000","0.0000","0.0000",,,
"20260307","CMP1140205","SATRANI FEB","ADG1181248","Satrani Saree Hit sku 9 to 12 Feb.","Auto Targeting","ADGROUP_STATUS_ABORTED","ON_HOLD","0","0",,,,"0.00","0","0","0","0.0000","0.0000","0.0000",,,
"20260312","CMP1299835","SATRANI MARCH","ADG1339697","SATRANI NEW1","Auto Targeting","ADGROUP_STATUS_DAILY_BUDGET_MET","LIVE","48007","1603","3.3400","0.3100","1.200000","1923.60","4","1","5","5422.1600","1948.9000","7371.0600","2.82000000","1.01000000","3.8300"
"20260312","CMP1320289","MITERA MARCH 2026","ADG1339665","MITERA NEW STYLES1","Auto Targeting","ADGROUP_STATUS_DAILY_BUDGET_MET","DAILY_BUDGET_MET","35702","928","2.6000","0.4300","1.200000","1113.60","0","4","4","0.0000","5846.4100","5846.4100","0.00000000","5.25000000","5.2500"
"20260312","CMP1299835","SATRANI MARCH","ADG1299877","SATRANI MIX","Auto Targeting","ADGROUP_STATUS_EXPIRED","LIVE","0","0",,,,"0.00","0","0","0","0.0000","0.0000","0.0000",,,
"20260317","CMP1320232","KALINI MARCH 2026","ADG1339634","KALINI NEW","Auto Targeting","ADGROUP_STATUS_EXPIRED","LIVE","0","0",,,,"0.00","0","0","0","0.0000","0.0000","0.0000",,,
"20260319","CMP1320289","MITERA MARCH 2026","ADG1339665","MITERA NEW STYLES1","Auto Targeting","ADGROUP_STATUS_EXPIRED","LIVE","0","0",,,,"0.00","0","0","0","0.0000","0.0000","0.0000",,,
"20260323","CMP1320232","KALINI MARCH 2026","ADG1394033","KALINI NEW 2","Auto Targeting","ADGROUP_STATUS_DAILY_BUDGET_MET","DAILY_BUDGET_MET","53676","860","1.6000","0.0000","1.450000","1250.40","0","0","0","0.0000","0.0000","0.0000","0.00000000","0.00000000","0.0000"
"20260323","CMP1299835","SATRANI MARCH","ADG1375401","SATRANI HIT /","Auto Targeting","ADGROUP_STATUS_EXPIRED","LIVE","0","0",,,,"0.00","0","0","0","0.0000","0.0000","0.0000",,,
"20260303","CMP1140205","SATRANI FEB","ADG1181306","Satrani Saree dis,spec sku 9 to 12 Feb.","Auto Targeting","ADGROUP_STATUS_EXPIRED","ON_HOLD","0","0",,,,"0.00","0","0","0","0.0000","0.0000","0.0000",,,
"20260309","CMP1299835","SATRANI MARCH","ADG1311686","MITERA","Auto Targeting","ADGROUP_STATUS_EXPIRED","LIVE","0","0",,,,"0.00","0","0","0","0.0000","0.0000","0.0000",,,
"20260309","CMP1320232","KALINI MARCH 2026","ADG1339645","KALINI HIT STYLES","Auto Targeting","ADGROUP_STATUS_SCHEDULED","SCHEDULED","0","0",,,,"0.00","0","0","0","0.0000","0.0000","0.0000",,,
"20260309","CMP1140205","SATRANI FEB","ADG1143135","Satrani Saree dis,spec sku 1 to 8 Feb.","Auto Targeting","ADGROUP_STATUS_EXPIRED","ON_HOLD","0","0",,,,"0.00","0","0","0","0.0000","0.0000","0.0000",,,
"20260305","CMP1318141","SANGRIA MARCH 2026","ADG1318545","AAY STYLES","Auto Targeting","ADGROUP_STATUS_DAILY_BUDGET_MET","DAILY_BUDGET_MET","37120","886","2.3900","0.1100","1.200000","1063.20","1","0","1","1657.9000","0.0000","1657.9000","1.56000000","0.00000000","1.5600"
"20260305","CMP1140205","SATRANI FEB","ADG1231585","Satrani Saree hit sku 20 to 22 Feb.","Auto Targeting","ADGROUP_STATUS_EXPIRED","ON_HOLD","0","0",,,,"0.00","0","0","0","0.0000","0.0000","0.0000",,,
"20260320","CMP1299835","SATRANI MARCH","ADG1394152","SATRANI MIX 2","Auto Targeting","ADGROUP_STATUS_SCHEDULED","SCHEDULED","0","0",,,,"0.00","0","0","0","0.0000","0.0000","0.0000",,,
"20260318","CMP1320289","MITERA MARCH 2026","ADG1375694","MITERA NEW STYLES /","Auto Targeting","ADGROUP_STATUS_DAILY_BUDGET_MET","DAILY_BUDGET_MET","42106","1498","3.5600","0.2700","1.200000","1797.60","2","2","4","2002.1200","2698.8100","4700.9300","1.11000000","1.50000000","2.6200"
"20260318","CMP1299835","SATRANI MARCH","ADG1311686","MITERA","Auto Targeting","ADGROUP_STATUS_EXPIRED","LIVE","0","0",,,,"0.00","0","0","0","0.0000","0.0000","0.0000",,,
"20260301","CMP1140205","SATRANI FEB","ADG1245986","HIT SKU 23 TO 26 FEB","Auto Targeting","ADGROUP_BUDGET_EXHAUSTED","LIVE","138651","4969","3.5800","0.2200","1.200000","5962.80","6","5","11","7425.7900","6925.4000","14351.1900","1.25000000","1.16000000","2.4100"
"20260317","CMP1320289","MITERA MARCH 2026","ADG1339664","MITERA MIX1","Auto Targeting","ADGROUP_STATUS_EXPIRED","LIVE","0","0",,,,"0.00","0","0","0","0.0000","0.0000","0.0000",,,
"20260308","CMP1320232","KALINI MARCH 2026","ADG1320264","NEW STYLES","Auto Targeting","ADGROUP_STATUS_DAILY_BUDGET_MET","DAILY_BUDGET_MET","111386","2538","2.2800","0.3500","1.200000","3045.60","6","3","9","5078.2300","2049.1900","7127.4200","1.67000000","0.67000000","2.3400"
"20260322","CMP1299835","SATRANI MARCH","ADG1375401","SATRANI HIT /","Auto Targeting","ADGROUP_STATUS_EXPIRED","ON_HOLD","0","0",,,,"0.00","0","0","0","0.0000","0.0000","0.0000",,,
"20260306","CMP1320232","KALINI MARCH 2026","ADG1320483","KALINI NEW STYELS","Auto Targeting","ADGROUP_STATUS_LIVE","LIVE","75418","1676","2.2200","0.3600","1.200000","2011.20","4","2","6","3539.8100","1834.3800","5374.1900","1.76000000","0.91000000","2.6700"
"20260306","CMP1320289","MITERA MARCH 2026","ADG1320547","MITERA NEW STYLES","Auto Targeting","ADGROUP_STATUS_SCHEDULED","LIVE","0","0",,,,"0.00","0","0","0","0.0000","0.0000","0.0000",,,
"20260301","CMP1140205","SATRANI FEB","ADG1181306","Satrani Saree dis,spec sku 9 to 12 Feb.","Auto Targeting","ADGROUP_STATUS_EXPIRED","ON_HOLD","0","0",,,,"0.00","0","0","0","0.0000","0.0000","0.0000",,,
"20260309","CMP1299835","SATRANI MARCH","ADG1339697","SATRANI NEW1","Auto Targeting","ADGROUP_STATUS_LIVE","LIVE","0","0",,,,"0.00","0","0","0","0.0000","0.0000","0.0000",,,
"20260321","CMP1320232","KALINI MARCH 2026","ADG1320248","MIX STYLES","Auto Targeting","ADGROUP_STATUS_EXPIRED","LIVE","0","0",,,,"0.00","0","0","0","0.0000","0.0000","0.0000",,,
"20260321","CMP1299835","SATRANI MARCH","ADG1311673","KALINI","Auto Targeting","ADGROUP_STATUS_EXPIRED","LIVE","0","0",,,,"0.00","0","0","0","0.0000","0.0000","0.0000",,,
"20260319","CMP1320232","KALINI MARCH 2026","ADG1320234","HIT STYLES","Auto Targeting","ADGROUP_STATUS_EXPIRED","LIVE","0","0",,,,"0.00","0","0","0","0.0000","0.0000","0.0000",,,
"20260301","CMP1143639","Mitera Saree Feb - 2026","ADG1246130","NEW & SPECIAL & DISCON.","Auto Targeting","ADGROUP_STATUS_EXPIRED","CAMPAIGN_EXPIRED","5","0","0.0000",,,"0.00","0","0","0","0.0000","0.0000","0.0000",,,
"20260323","CMP1320289","MITERA MARCH 2026","ADG1394081","MITERA HIT 2","Auto Targeting","ADGROUP_STATUS_LIVE","LIVE","30935","963","3.1100","0.2100","1.200000","1155.60","2","0","2","1363.9200","0.0000","1363.9200","1.18000000","0.00000000","1.1800"
"20260323","CMP1299835","SATRANI MARCH","ADG1299853","SATRANI HIT","Auto Targeting","ADGROUP_STATUS_EXPIRED","LIVE","0","0",,,,"0.00","0","0","0","0.0000","0.0000","0.0000",,,
"20260306","CMP1140205","SATRANI FEB","ADG1231575","Satrani Saree dis,spec sku 20 to 22 Feb.","Auto Targeting","ADGROUP_STATUS_EXPIRED","ON_HOLD","0","0",,,,"0.00","0","0","0","0.0000","0.0000","0.0000",,,
"20260323","CMP1320289","MITERA MARCH 2026","ADG1320292","MITERA MIX","Auto Targeting","ADGROUP_STATUS_EXPIRED","LIVE","0","0",,,,"0.00","0","0","0","0.0000","0.0000","0.0000",,,
"20260323","CMP1320289","MITERA MARCH 2026","ADG1375706","MITERA MIX /","Auto Targeting","ADGROUP_STATUS_EXPIRED","LIVE","0","0",,,,"0.00","0","0","0","0.0000","0.0000","0.0000",,,
"20260311","CMP1320289","MITERA MARCH 2026","ADG1339664","MITERA MIX1","Auto Targeting","ADGROUP_STATUS_LIVE","LIVE","28261","926","3.2800","0.4300","1.200000","1111.20","3","1","4","4551.3600","1351.3700","5902.7300","4.10000000","1.22000000","5.3100"
"20260309","CMP1320232","KALINI MARCH 2026","ADG1339638","KALINI MIX STYLES","Auto Targeting","ADGROUP_STATUS_SCHEDULED","SCHEDULED","0","0",,,,"0.00","0","0","0","0.0000","0.0000","0.0000",,,
"20260313","CMP1299835","SATRANI MARCH","ADG1339690","SATRANI MIX1","Auto Targeting","ADGROUP_STATUS_DAILY_BUDGET_MET","DAILY_BUDGET_MET","48571","1628","3.3500","0.4300","1.200000","1953.60","4","3","7","7581.9200","4520.7300","12102.6500","3.88000000","2.31000000","6.2000"
"20260310","CMP1299835","SATRANI MARCH","ADG1339686","SATRANI HIT1","Auto Targeting","ADGROUP_STATUS_DAILY_BUDGET_MET","DAILY_BUDGET_MET","42259","1750","4.1400","0.1700","1.200000","2100.00","1","2","3","679.8200","3007.3000","3687.1100","0.32000000","1.43000000","1.7600"
"20260310","CMP1140205","SATRANI FEB","ADG1246001","NEW & NEUTRAL 23 TO 26","Auto Targeting","ADGROUP_STATUS_EXPIRED","CAMPAIGN_EXPIRED","0","0",,,,"0.00","0","0","0","0.0000","0.0000","0.0000",,,
"20260320","CMP1320289","MITERA MARCH 2026","ADG1320292","MITERA MIX","Auto Targeting","ADGROUP_STATUS_EXPIRED","SCHEDULED","0","0",,,,"0.00","0","0","0","0.0000","0.0000","0.0000",,,
"20260307","CMP1320289","MITERA MARCH 2026","ADG1320292","MITERA MIX","Auto Targeting","ADGROUP_STATUS_LIVE","LIVE","57586","1706","2.9600","0.2300","1.200000","2047.20","3","1","4","4035.3100","1250.3000","5285.6100","1.97000000","0.61000000","2.5800"
"20260316","CMP1299835","SATRANI MARCH","ADG1375401","SATRANI HIT /","Auto Targeting","ADGROUP_STATUS_DAILY_BUDGET_MET","DAILY_BUDGET_MET","42662","1422","3.3300","0.1400","1.200000","1706.40","1","1","2","2201.9000","1401.4900","3603.3900","1.29000000","0.82000000","2.1100"
"20260311","CMP1299835","SATRANI MARCH","ADG1299877","SATRANI MIX","Auto Targeting","ADGROUP_STATUS_EXPIRED","LIVE","0","0",,,,"0.00","0","0","0","0.0000","0.0000","0.0000",,,
"20260301","CMP1140205","SATRANI FEB","ADG1246001","NEW & NEUTRAL 23 TO 26","Auto Targeting","ADGROUP_STATUS_LIVE","LIVE","65224","2527","3.8700","0.1600","1.200000","3032.40","3","1","4","4422.1900","2485.8800","6908.0700","1.46000000","0.82000000","2.2800"
"20260301","CMP1140205","SATRANI FEB","ADG1181253","Satrani Saree Hit sku neut 9 to 12 Feb.","Auto Targeting","ADGROUP_STATUS_EXPIRED","ON_HOLD","0","0",,,,"0.00","0","0","0","0.0000","0.0000","0.0000",,,
"20260305","CMP1320232","KALINI MARCH 2026","ADG1320264","NEW STYLES","Auto Targeting","ADGROUP_STATUS_SCHEDULED","LIVE","0","0",,,,"0.00","0","0","0","0.0000","0.0000","0.0000",,,
