"campaign_id","campaign_name","adgroup_id","adgroup_name","adgroup_targetting_type","product_id","product_name","adgroup_status","campaign_status","impressions","clicks","ctr","cvr","avg_cpc","budget_spend","units_sold_direct","units_sold_indirect","units_sold_total","direct_revenue","indirect_revenue","total_revenue","roi_direct","roi_indirect","roi_total"
"CMP1299835","SATRANI MARCH","ADG1299837","GROW REVENUE RECOMM.","Auto Targeting","29558904","KALINI Woven Design Zari Silk Blend Banarasi Republic Day Saree","ADGROUP_STATUS_EXPIRED","LIVE","3269","57","1.7400","0.0000","1.200000","68.40","0","0","0","0.0000","0.0000","0.0000","0.00000000","0.00000000","0.0000"
"CMP1299835","SATRANI MARCH","ADG1299853","SATRANI HIT","Auto Targeting","30818579","Satrani Ethnic Motifs Woven Design Zari Banarasi Saree","ADGROUP_STATUS_EXPIRED","LIVE","3371","106","3.1400","0.0000","1.200000","127.20","0","0","0","0.0000","0.0000","0.0000","0.00000000","0.00000000","0.0000"
"CMP1140205","SATRANI FEB","ADG1231585","Satrani Saree hit sku 20 to 22 Feb.","Auto Targeting","36078087","Satrani Bandhani Printed Embroidered Detail Saree","ADGROUP_STATUS_EXPIRED","CAMPAIGN_EXPIRED","0","0",,,,"0.00","0","0","0","0.0000","0.0000","0.0000",,,
"CMP1299835","SATRANI MARCH","ADG1299837","GROW REVENUE RECOMM.","Auto Targeting","30171122","KALINI Ethnic Motifs Woven Design Zari Banarasi Saree","ADGROUP_STATUS_EXPIRED","LIVE","3704","87","2.3500","0.0000","1.200000","104.40","0","0","0","0.0000","0.0000","0.0000","0.00000000","0.00000000","0.0000"
"CMP1299835","SATRANI MARCH","ADG1311686","MITERA","Auto Targeting","35269156","Mitera Woven Design Floral Print Zari Ready to Wear Saree","ADGROUP_STATUS_EXPIRED","LIVE","774","9","1.1600","0.0000","1.200000","10.80","0","0","0","0.0000","0.0000","0.0000","0.00000000","0.00000000","0.0000"
"CMP1143430","Kalini Saree Feb - 2026","ADG1246115","NEW PROMOTE","Auto Targeting","39659042","KALINI Ethnic Motifs Silk Blend Saree","ADGROUP_STATUS_EXPIRED","CAMPAIGN_EXPIRED","2","0","0.0000",,,"0.00","0","0","0","0.0000","0.0000","0.0000",,,
"CMP1140205","SATRANI FEB","ADG1246001","NEW & NEUTRAL 23 TO 26","Auto Targeting","24762074","Satrani Leheriya Printed Embroidered Leheriya Saree","ADGROUP_STATUS_EXPIRED","CAMPAIGN_EXPIRED","4651","258","5.5500","0.0000","1.200000","309.60","0","0","0","0.0000","0.0000","0.0000","0.00000000","0.00000000","0.0000"
"CMP1299835","SATRANI MARCH","ADG1311673","KALINI","Auto Targeting","40091043","KALINI Tie and Dye Linen Blend Saree","ADGROUP_STATUS_EXPIRED","LIVE","253","12","4.7400","0.0000","1.200000","14.40","0","0","0","0.0000","0.0000","0.0000","0.00000000","0.00000000","0.0000"
"CMP1299835","SATRANI MARCH","ADG1299893","SATRANI NEW","Auto Targeting","39656782","Satrani Embellished Embroidered Pure Georgette Designer Saree","ADGROUP_STATUS_EXPIRED","LIVE","901","11","1.2200","0.0000","1.200000","13.20","0","0","0","0.0000","0.0000","0.0000","0.00000000","0.00000000","0.0000"
"CMP1320232","KALINI MARCH 2026","ADG1320483","KALINI NEW STYELS","Auto Targeting","40091065","KALINI Tie and Dye Linen Blend Saree","ADGROUP_STATUS_EXPIRED","LIVE","2762","84","3.0400","0.0000","1.200000","100.80","0","0","0","0.0000","0.0000","0.0000","0.00000000","0.00000000","0.0000"
